#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Cumulative Sum,https://workat.tech/problem-solving/practice/cumulative-sum/index.html,30,54%,easy,,Running Sum of 1d Array (1480),https://leetcode.com/problems/running-sum-of-1d-array/,,,Exact same problem
2,Positive Cumulative Sum,https://workat.tech/problem-solving/practice/positive-cumulative-sum/index.html,30,49%,easy,,Running Sum of 1d Array (1480) - related,https://leetcode.com/problems/running-sum-of-1d-array/,,,No exact equivalent; LC 1480 covers the cumulative-sum part
3,Identical Twins,https://workat.tech/problem-solving/practice/identical-twins/index.html,30,69%,easy,,Number of Good Pairs (1512),https://leetcode.com/problems/number-of-good-pairs/,,,Exact same problem (count pairs i<j with equal values)
4,Even Number of Digits,https://workat.tech/problem-solving/practice/even-number-of-digits/index.html,30,37%,easy,,Find Numbers with Even Number of Digits (1295),https://leetcode.com/problems/find-numbers-with-even-number-of-digits/,,,Exact same problem
5,Implement Insertion Sort,https://workat.tech/problem-solving/practice/implement-insertion-sort/index.html,30,69%,easy,"Grofers, Juniper Networks, Maq Software, Microsoft",Sort an Array (912),https://leetcode.com/problems/sort-an-array/,Insertion Sort (GeeksforGeeks),https://www.geeksforgeeks.org/problems/insertion-sort/1,LC 912 may TLE with O(n^2) insertion sort; GfG problem is the direct implementation task
6,Merge Two Sorted Arrays,https://workat.tech/problem-solving/practice/merge-two-sorted-arrays/index.html,30,51%,easy,"Goldman Sachs, Juniper Networks, LinkedIn, Microsoft, Snapdeal +2 more",Merge Sorted Array (88),https://leetcode.com/problems/merge-sorted-array/,,,LC 88 merges in-place into nums1 with extra space at the end
7,Merge Sorted Subarrays,https://workat.tech/problem-solving/practice/merge-sorted-subarrays/index.html,30,57%,easy,Amazon,Merge Sorted Array (88) - similar,https://leetcode.com/problems/merge-sorted-array/,,,No exact equivalent; same merge logic but within a single array split at an index
8,Implement Merge Sort,https://workat.tech/problem-solving/practice/implement-merge-sort/index.html,30,64%,easy,"Amazon, Goldman Sachs, Grofers, Medlife, Microsoft +4 more",Sort an Array (912),https://leetcode.com/problems/sort-an-array/,Merge Sort (GeeksforGeeks),https://www.geeksforgeeks.org/problems/merge-sort/1,LC 912 accepts any correct sorting algorithm including merge sort
9,Implement Quicksort,https://workat.tech/problem-solving/practice/implement-quicksort/index.html,30,57%,easy,"Adobe, Amazon, Cisco, Dell, Goldman Sachs +9 more",Sort an Array (912),https://leetcode.com/problems/sort-an-array/,Quick Sort (GeeksforGeeks),https://www.geeksforgeeks.org/problems/quick-sort/1,GfG problem is the direct quicksort implementation task
10,Square sorted array,https://workat.tech/problem-solving/practice/square-sorted-array/index.html,30,57%,easy,"Amazon, VMware",Squares of a Sorted Array (977),https://leetcode.com/problems/squares-of-a-sorted-array/,,,Exact same problem
11,Max Consecutive Ones,https://workat.tech/problem-solving/practice/max-consecutive-ones/index.html,30,63%,easy,"Amazon, VMware",Max Consecutive Ones (485),https://leetcode.com/problems/max-consecutive-ones/,,,Exact same problem
12,Arithmetic Sequence,https://workat.tech/problem-solving/practice/arithmetic-sequence/index.html,30,62%,easy,,Can Make Arithmetic Progression From Sequence (1502),https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/,,,Exact same problem (reorder check)
13,Largest Contiguous Sum,https://workat.tech/problem-solving/practice/largest-contiguous/index.html,30,38%,easy,"Amazon, D. E. Shaw, Facebook, Goldman Sachs, Google +11 more",Maximum Subarray (53),https://leetcode.com/problems/maximum-subarray/,,,Exact same problem (Kadane's algorithm)
14,Pascal's Triangle,https://workat.tech/problem-solving/practice/pascals-triangle/index.html,30,50%,easy,"Amazon, Google",Pascal's Triangle II (119),https://leetcode.com/problems/pascals-triangle-ii/,,,Workat asks for the nth row which matches LC 119; LC 118 (https://leetcode.com/problems/pascals-triangle/) prints the full triangle
15,Row Column Zero,https://workat.tech/problem-solving/practice/row-column-zero/index.html,50,57%,medium,"Amazon, Oracle",Set Matrix Zeroes (73),https://leetcode.com/problems/set-matrix-zeroes/,,,Exact same problem
16,Matrix Rotation,https://workat.tech/problem-solving/practice/matrix-rotation/index.html,50,56%,medium,"Amazon, Facebook, Google, Paytm, Samsung +2 more",Rotate Image (48),https://leetcode.com/problems/rotate-image/,,,Both rotate 90 degrees clockwise; LC 48 is in-place on an n x n matrix while workat allows rectangular n x m
17,Primes upto N,https://workat.tech/problem-solving/practice/primes-upto-n/index.html,50,51%,medium,"Amdocs, Ola",Count Primes (204) - similar,https://leetcode.com/problems/count-primes/,Sieve of Eratosthenes (GeeksforGeeks),https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes/1,GfG problem is the exact match (print all primes upto n); LC 204 counts primes instead of listing them
18,Merge Overlapping Intervals,https://workat.tech/problem-solving/practice/merge-overlap-intervals/index.html,50,50%,medium,"Amazon, Google",Merge Intervals (56),https://leetcode.com/problems/merge-intervals/,,,Exact same problem
19,Kth Largest Element,https://workat.tech/problem-solving/practice/kth-largest-element/index.html,50,67%,medium,Amazon,Kth Largest Element in an Array (215),https://leetcode.com/problems/kth-largest-element-in-an-array/,,,Exact same problem
20,Next Greater Permutation,https://workat.tech/problem-solving/practice/next-greater-permutation/index.html,80,58%,hard,"Amazon, Microsoft",Next Permutation (31),https://leetcode.com/problems/next-permutation/,,,Exact same problem
21,Inversion Count,https://workat.tech/problem-solving/practice/inversion-count/index.html,50,57%,medium,"Adobe, Amazon, Flipkart, Microsoft, Myntra",Reverse Pairs (493) - harder variant,https://leetcode.com/problems/reverse-pairs/,Count Inversions (GeeksforGeeks),https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,GfG problem is the exact match; LeetCode has no direct count-inversions problem
