#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Search in a Binary Search Tree (BST),https://workat.tech/problem-solving/practice/search-in-a-binary-search-tree/index.html,30,78%,easy,LinkedIn,Search in a Binary Search Tree (700),https://leetcode.com/problems/search-in-a-binary-search-tree/,,,Exact same problem
2,Insert into a Binary Search Tree (BST),https://workat.tech/problem-solving/practice/insert-into-a-binary-search-tree/index.html,50,82%,medium,Adobe,Insert into a Binary Search Tree (701),https://leetcode.com/problems/insert-into-a-binary-search-tree/,,,Exact same problem
3,Inorder Successor of Node in BST,https://workat.tech/problem-solving/practice/inorder-successor-bst/index.html,50,72%,medium,"Amazon, Microsoft, Morgan Stanley",Inorder Successor in BST (285) (premium),https://leetcode.com/problems/inorder-successor-in-bst/,Inorder Successor in BST (GeeksforGeeks),https://www.geeksforgeeks.org/problems/inorder-successor-in-bst/1,Exact same problem; LC 285 is premium
4,Inorder Predecessor of Node in BST,https://workat.tech/problem-solving/practice/inorder-predecessor-bst/index.html,50,67%,medium,Ola,,,Predecessor and Successor in BST (GeeksforGeeks),https://www.geeksforgeeks.org/problems/predecessor-and-successor/1,No exact LC equivalent; mirror of LC 285 (successor); GfG problem asks for both predecessor and successor
5,Delete Node in a Binary Search Tree (BST),https://workat.tech/problem-solving/practice/delete-node-from-binary-search-tree/index.html,50,67%,medium,Adobe,Delete Node in a BST (450),https://leetcode.com/problems/delete-node-in-a-bst/,,,Exact same problem
6,Lowest Common Ancestor in BST,https://workat.tech/problem-solving/practice/lowest-common-ancestor-bst/index.html,30,79%,easy,"Amazon, Flipkart, Maq Software, Microsoft, Samsung, Synopsys",Lowest Common Ancestor of a Binary Search Tree (235),https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,,Exact same problem
7,Two Sum in BST,https://workat.tech/problem-solving/practice/two-sum-binary-search-tree/index.html,30,61%,easy,"Amazon, Google, Microsoft, Oyo, Snapdeal",Two Sum IV - Input is a BST (653),https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,,,Exact same problem
8,Is Binary Tree BST,https://workat.tech/problem-solving/practice/is-binary-tree-bst/index.html,50,67%,medium,"Adobe, Amazon, Flipkart, Goldman Sachs, LinkedIn +3 more",Validate Binary Search Tree (98),https://leetcode.com/problems/validate-binary-search-tree/,,,Exact same problem
9,Kth Largest in BST,https://workat.tech/problem-solving/practice/kth-largest-element-bst/index.html,50,82%,medium,"Amazon, Microsoft, Samsung, Sap Labs",Kth Smallest Element in a BST (230) - related,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Kth Largest in BST (GeeksforGeeks),https://www.geeksforgeeks.org/problems/kth-largest-element-in-bst/1,No exact LC equivalent; kth largest is the mirror of LC 230 (kth smallest); GfG problem is exact
10,Kth Smallest in BST,https://workat.tech/problem-solving/practice/kth-smallest-element-bst/index.html,50,83%,medium,"Amazon, Google",Kth Smallest Element in a BST (230),https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,,Exact same problem
11,Binary Search Tree (BST) Iterator,https://workat.tech/problem-solving/practice/binary-search-tree-iterator/index.html,50,84%,medium,"Facebook, HSBC, Paytm, Uber, Visa",Binary Search Tree Iterator (173),https://leetcode.com/problems/binary-search-tree-iterator/,,,Exact same problem
12,Serialize and Deserialize Binary Search Tree (BST),https://workat.tech/problem-solving/practice/serialize-and-deserialize-bst/index.html,50,61%,medium,"Apple, Ebay, Facebook, Flipkart, Paytm, Uber",Serialize and Deserialize BST (449),https://leetcode.com/problems/serialize-and-deserialize-bst/,,,Exact same problem
13,Size of the Largest BST in a Binary Tree,https://workat.tech/problem-solving/practice/size-of-largest-bst-in-binary-tree/index.html,80,68%,hard,Ola,Largest BST Subtree (333) (premium),https://leetcode.com/problems/largest-bst-subtree/,Largest BST (GeeksforGeeks),https://www.geeksforgeeks.org/problems/largest-bst/1,Exact same problem; LC 333 is premium
14,Kth Largest Element From Data Stream,https://workat.tech/problem-solving/practice/kth-largest-from-data-stream/index.html,80,39%,hard,"Amazon, Codenation, Delhivery, Flipkart",Kth Largest Element in a Stream (703),https://leetcode.com/problems/kth-largest-element-in-a-stream/,,,Exact same problem
15,Median From Data Stream,https://workat.tech/problem-solving/practice/median-from-data-stream/index.html,80,45%,hard,"Apple, Facebook, Google, Samsung",Find Median from Data Stream (295),https://leetcode.com/problems/find-median-from-data-stream/,,,Exact same problem
16,Merge K Sorted Arrays,https://workat.tech/problem-solving/practice/merge-k-sorted-arrays/index.html,80,84%,hard,"Citrix, Microsoft, VMware",Merge k Sorted Lists (23) - similar,https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Arrays (GeeksforGeeks),https://www.geeksforgeeks.org/problems/merge-k-sorted-arrays/1,LC 23 uses linked lists instead of arrays; GfG problem is the exact array version
17,Sort Almost Sorted Array,https://workat.tech/problem-solving/practice/sort-almost-sorted/index.html,80,88%,hard,,,,Nearly sorted (GeeksforGeeks),https://www.geeksforgeeks.org/problems/nearly-sorted-algorithm/1,No exact LC equivalent; classic k-sorted array problem solved with min-heap of size k+1; GfG problem is exact
