#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Climbing Stairs,https://workat.tech/problem-solving/practice/climbing-stairs/index.html,30,57%,easy,"Adobe, Amazon, Microsoft",Climbing Stairs (70),https://leetcode.com/problems/climbing-stairs/,,,"Exact same problem"
2,Longest Increasing Subsequence (LIS),https://workat.tech/problem-solving/practice/longest-increasing-subsequence/index.html,50,67%,medium,"Amazon, Maq Software, Microsoft, Paytm, Samsung",Longest Increasing Subsequence (300),https://leetcode.com/problems/longest-increasing-subsequence/,,,"Exact same problem"
3,Longest Common Subsequence (LCS),https://workat.tech/problem-solving/practice/longest-common-subsequence/index.html,50,54%,medium,"Amazon, Google, Uber",Longest Common Subsequence (1143),https://leetcode.com/problems/longest-common-subsequence/,,,"Exact same problem"
4,Maximum Sum Increasing Subsequence,https://workat.tech/problem-solving/practice/maximum-sum-increasing-subsequence/index.html,50,60%,medium,"Amazon, Google, Morgan Stanley",,,Max Sum Increasing Subsequence (GeeksforGeeks),https://www.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence/1,"No exact LC equivalent; classic DP. GfG has the exact problem"
5,Longest Palindromic Substring (LPS),https://workat.tech/problem-solving/practice/longest-palindromic-substring/index.html,50,54%,medium,"Adobe, Amazon, Apple, Facebook, Google +7 more",Longest Palindromic Substring (5),https://leetcode.com/problems/longest-palindromic-substring/,,,"Exact same problem"
6,Edit Distance (Levenshtein Distance),https://workat.tech/problem-solving/practice/edit-distance/index.html,50,65%,medium,"Amazon, Google, Uber",Edit Distance (72),https://leetcode.com/problems/edit-distance/,,,"Exact same problem"
7,Collect Jewels,https://workat.tech/problem-solving/practice/collect-jewels/index.html,50,56%,medium,"Amazon, Directi, Flipkart, Microsoft, Morgan Stanley +3 more","Partition Equal Subset Sum (416) - related",https://leetcode.com/problems/partition-equal-subset-sum/,0 - 1 Knapsack Problem (GeeksforGeeks),https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,"Statement is the classic 0/1 knapsack (max value within weight capacity). LC has no plain knapsack; LC 416 is a special case. GfG has the exact problem"
8,Subset Sum,https://workat.tech/problem-solving/practice/subset-sum/index.html,50,55%,medium,"Google, Samsung, Zenefits","Partition Equal Subset Sum (416) - related",https://leetcode.com/problems/partition-equal-subset-sum/,Subset Sum Problem (GeeksforGeeks),https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,"Subset-sum existence; LC 416 is the special case with target = total/2; GfG has the exact problem"
9,Subset Sum 2,https://workat.tech/problem-solving/practice/subset-sum-2/index.html,50,70%,medium,"Amazon, Microsoft","Partition Equal Subset Sum (416) - related",https://leetcode.com/problems/partition-equal-subset-sum/,Subset Sum Problem (GeeksforGeeks),https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,"Subset-sum existence with larger n (DP variant of Subset Sum); LC 416 is the special case with target = total/2"
10,Maximum path sum in matrix,https://workat.tech/problem-solving/practice/max-path-sum-matrix/index.html,50,61%,medium,"Amazon, Flipkart, MakeMyTrip, Microsoft, Samsung","Triangle (120) - related",https://leetcode.com/problems/triangle/,Maximum path sum in matrix (GeeksforGeeks),https://www.geeksforgeeks.org/problems/path-in-matrix/1,"Max sum path from any first-row cell moving down/diagonally; LC 120 is a similar top-down path DP but min-sum in a triangle; GfG has the exact problem"
11,Rod Cutting,https://workat.tech/problem-solving/practice/rod-cutting/index.html,50,40%,medium,"Google, Samsung",,,Rod Cutting (GeeksforGeeks),https://www.geeksforgeeks.org/problems/rod-cutting0840/1,"No exact LC equivalent; classic rod cutting (unbounded knapsack). GfG has the exact problem"
12,Coin Change,https://workat.tech/problem-solving/practice/coin-change/index.html,50,53%,medium,"Amazon, Apple, Goldman Sachs, Microsoft, Paytm +2 more",Coin Change II (518),https://leetcode.com/problems/coin-change-ii/,,,"Workat problem counts combinations so it matches LC 518; LC 322 Coin Change asks for minimum coins instead"
13,Decode Ways,https://workat.tech/problem-solving/practice/decode-ways/index.html,50,25%,medium,"Adobe, Uber",Decode Ways (91),https://leetcode.com/problems/decode-ways/,,,"Exact same problem"
14,Unique Paths,https://workat.tech/problem-solving/practice/unique-paths/index.html,50,25%,medium,"Google",Unique Paths (62),https://leetcode.com/problems/unique-paths/,,,"Exact same problem"
15,Maximum Product Subarray,https://workat.tech/problem-solving/practice/max-product-subarray/index.html,50,59%,medium,"Amazon, LinkedIn, Microsoft",Maximum Product Subarray (152),https://leetcode.com/problems/maximum-product-subarray/,,,"Exact same problem"
16,Minimum Egg Drops,https://workat.tech/problem-solving/practice/egg-dropping/index.html,80,59%,hard,"Amazon, Goldman Sachs, Google","Super Egg Drop (887) (premium)",https://leetcode.com/problems/super-egg-drop/,Egg Dropping Puzzle (GeeksforGeeks),https://www.geeksforgeeks.org/problems/egg-dropping-puzzle/1,"Same egg dropping problem; LC 887 is premium; GfG has the free equivalent"
17,Palindrome Partitioning,https://workat.tech/problem-solving/practice/palindromic-partitioning/index.html,50,83%,medium,"Amazon, Google, Microsoft",Palindrome Partitioning (131),https://leetcode.com/problems/palindrome-partitioning/,,,"Exact same problem (return all palindromic partitions)"
18,Palindrome Partitioning 2,https://workat.tech/problem-solving/practice/palindromic-partitioning-2/index.html,80,58%,hard,"Adobe, Amazon, Google",Palindrome Partitioning II (132),https://leetcode.com/problems/palindrome-partitioning-ii/,,,"Exact same problem (minimum cuts)"
19,Word Break,https://workat.tech/problem-solving/practice/word-break/index.html,50,65%,medium,"Amazon, Apple, Facebook, Google, Maq Software +3 more",Word Break (139),https://leetcode.com/problems/word-break/,,,"Exact same problem"
20,Word Break - II,https://workat.tech/problem-solving/practice/word-break-ii/index.html,80,60%,hard,"Google",Word Break II (140),https://leetcode.com/problems/word-break-ii/,,,"Exact same problem"
21,Best Time to Buy and Sell Stocks,https://workat.tech/problem-solving/practice/best-time-to-buy-and-sell-stock/index.html,30,70%,easy,"Amazon, Facebook, Goldman Sachs, Google, Microsoft, Oracle",Best Time to Buy and Sell Stock (121),https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,,"Exact same problem (single transaction)"
22,Best Time to Buy and Sell Stocks II,https://workat.tech/problem-solving/practice/best-time-to-buy-and-sell-stock-ii/index.html,30,75%,easy,"Amazon, Facebook",Best Time to Buy and Sell Stock II (122),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,,,"Exact same problem (unlimited transactions)"
23,Best Time to Buy and Sell Stock III,https://workat.tech/problem-solving/practice/best-time-to-buy-and-sell-stock-iii/index.html,80,65%,hard,"Amazon, Facebook",Best Time to Buy and Sell Stock III (123),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,,,"Exact same problem (at most 2 transactions)"
