#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Excel Column Number,https://workat.tech/problem-solving/practice/excel-column/index.html,30,49%,easy,"Apple, Oracle",Excel Sheet Column Number (171),https://leetcode.com/problems/excel-sheet-column-number/,,,Exact same problem (column title to number)
2,Trailing Zeroes,https://workat.tech/problem-solving/practice/trailing-zeroes/index.html,30,46%,easy,"Goldman Sachs, Uber",Factorial Trailing Zeroes (172),https://leetcode.com/problems/factorial-trailing-zeroes/,,,Exact same problem (trailing zeroes in n!)
3,Greatest Common Divisor,https://workat.tech/problem-solving/practice/gcd/index.html,30,67%,easy,"Adobe, Amazon, Paytm",,,GCD of Two (GeeksforGeeks),https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,No LC problem for plain GCD of two integers; GfG is the direct implementation task
4,Primes upto N,https://workat.tech/problem-solving/practice/primes-upto-n/index.html,50,51%,medium,"Amdocs, Ola",Count Primes (204) - related,https://leetcode.com/problems/count-primes/,Sieve of Eratosthenes (GeeksforGeeks),https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes5242/1,LC counts primes < n instead of listing them; GfG sieve is the direct implementation task
5,Matrix Paths,https://workat.tech/problem-solving/practice/matrix-paths/index.html,50,44%,medium,"Adobe, Microsoft",Unique Paths (62),https://leetcode.com/problems/unique-paths/,,,Exact same problem (count right/down paths in a grid)
6,Exponentiation With Modulus,https://workat.tech/problem-solving/practice/exponent-with-modulus/index.html,50,31%,medium,Google,"Pow(x, n) (50) - related",https://leetcode.com/problems/powx-n/,Modular Exponentiation (GeeksforGeeks),https://www.geeksforgeeks.org/problems/modular-exponentiation-for-large-numbers5537/1,LC has no modulus variant; GfG computes (x^y) mod z directly
7,Most Significant Bit,https://workat.tech/problem-solving/practice/most-significant-bit/index.html,30,73%,easy,Microsoft,,,,,No LC or GfG equivalent; returns largest power of two <= n
8,Power Of Two,https://workat.tech/problem-solving/practice/power-of-two/index.html,30,42%,easy,,Power of Two (231),https://leetcode.com/problems/power-of-two/,,,Exact same problem
9,Count Set Bits,https://workat.tech/problem-solving/practice/count-set-bits/index.html,30,77%,easy,,Number of 1 Bits (191),https://leetcode.com/problems/number-of-1-bits/,,,Exact same problem
10,Find the Duplicate Number,https://workat.tech/problem-solving/practice/find-the-duplicate-number/index.html,30,71%,easy,,Find the Duplicate Number (287),https://leetcode.com/problems/find-the-duplicate-number/,,,Same task; LC adds O(1) space and no-modification constraints
11,Find the Missing Number,https://workat.tech/problem-solving/practice/find-the-missing-number/index.html,30,63%,easy,,Missing Number (268),https://leetcode.com/problems/missing-number/,,,Same task; LC uses range 0..n while workat uses 1..n
12,Repeat and Missing Number in Array,https://workat.tech/problem-solving/practice/repeat-and-missing-number-array/index.html,50,57%,medium,Microsoft,Set Mismatch (645),https://leetcode.com/problems/set-mismatch/,Missing And Repeating (GeeksforGeeks),https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,Same task; both return [duplicate missing]; GfG is the classic interview variant
13,"Divide without Division, Multiplication & Mod",https://workat.tech/problem-solving/practice/divide-without-division-multiplication-mod/index.html,50,32%,medium,Microsoft,Divide Two Integers (29),https://leetcode.com/problems/divide-two-integers/,"Division without using multiplication, division and mod operator (GeeksforGeeks)",https://www.geeksforgeeks.org/problems/division-without-using-multiplication-division-and-mod-operator/1,Same task; LC adds 32-bit overflow edge cases
14,"Square without Multiplication, Division & Pow",https://workat.tech/problem-solving/practice/square-without-multiply-divide-pow/index.html,50,72%,medium,,,,,,No LC or GfG equivalent; squaring via repeated addition or bit manipulation
15,Power Set,https://workat.tech/problem-solving/practice/power-set/index.html,50,67%,medium,,Subsets (78),https://leetcode.com/problems/subsets/,,,Exact same problem
