id,#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
3188264b4b27aee9,1,Binary Tree Inorder Traversal,https://workat.tech/problem-solving/practice/binary-tree-inorder-traversal/index.html,30,42%,easy,"Amazon, Microsoft",Binary Tree Inorder Traversal (94),https://leetcode.com/problems/binary-tree-inorder-traversal/,,,Exact same problem
1a42ddd2999cd46d,2,Binary Tree Preorder Traversal,https://workat.tech/problem-solving/practice/binary-tree-preorder-traversal/index.html,30,80%,easy,"Amazon, Microsoft",Binary Tree Preorder Traversal (144),https://leetcode.com/problems/binary-tree-preorder-traversal/,,,Exact same problem
37a28a6ca8378c0c,3,Binary Tree Postorder Traversal,https://workat.tech/problem-solving/practice/binary-tree-postorder-traversal/index.html,30,79%,easy,"Amazon, Microsoft",Binary Tree Postorder Traversal (145),https://leetcode.com/problems/binary-tree-postorder-traversal/,,,Exact same problem
23db6e13efcf1fc4,4,Level Order of Binary Tree,https://workat.tech/problem-solving/practice/level-order-binary-tree/index.html,30,44%,easy,"Adobe, Expedia, Facebook, Microsoft",Binary Tree Level Order Traversal (102),https://leetcode.com/problems/binary-tree-level-order-traversal/,,,Exact same traversal; LC returns list of level sublists while workat prints one flat line
0025163205def604,5,Identical Binary Trees,https://workat.tech/problem-solving/practice/identical-binary-trees/index.html,30,57%,easy,Amazon,Same Tree (100),https://leetcode.com/problems/same-tree/,,,Exact same problem
97a7d061e8f1f1fc,6,Symmetric Binary Tree,https://workat.tech/problem-solving/practice/symmetric-binary-tree/index.html,30,80%,easy,"Amazon, Microsoft",Symmetric Tree (101),https://leetcode.com/problems/symmetric-tree/,,,Exact same problem
70c05f1fdb7cd6dd,7,Maximum Depth of Binary Tree,https://workat.tech/problem-solving/practice/maximum-depth-of-binary-tree/index.html,30,90%,easy,"Amazon, Facebook, Microsoft",Maximum Depth of Binary Tree (104),https://leetcode.com/problems/maximum-depth-of-binary-tree/,,,Exact same problem
22ff57fb52cbe857,8,Diameter of Binary Tree,https://workat.tech/problem-solving/practice/diameter-of-binary-tree/index.html,30,47%,easy,"Amazon, Facebook, Microsoft",Diameter of Binary Tree (543),https://leetcode.com/problems/diameter-of-binary-tree/,,,Exact same problem; diameter measured in edges
cb091e513976a4d7,9,Invert Binary Tree,https://workat.tech/problem-solving/practice/invert-binary-tree/index.html,30,50%,easy,"Adobe, Amazon, Google, Microsoft, Morgan Stanley +3 more",Invert Binary Tree (226),https://leetcode.com/problems/invert-binary-tree/,,,Exact same problem
ed2a5741c0d9552e,10,Balanced Binary Tree,https://workat.tech/problem-solving/practice/balanced-binary-tree/index.html,30,81%,easy,"Amazon, Microsoft",Balanced Binary Tree (110),https://leetcode.com/problems/balanced-binary-tree/,,,Exact same problem
23bec3ab1658640f,11,Binary Tree Zigzag Level Order Traversal,https://workat.tech/problem-solving/practice/zigzag-level-order-traversal/index.html,50,53%,medium,"Amazon, Cisco, Hike, Microsoft, Snapdeal",Binary Tree Zigzag Level Order Traversal (103),https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,,Exact same problem
4187c99b49fdca0f,12,Construct Binary Tree from Preorder and Inorder Traversal,https://workat.tech/problem-solving/practice/construct-binary-tree-from-preorder-and-inorder-traversal/index.html,50,74%,medium,"Amazon, Microsoft",Construct Binary Tree from Preorder and Inorder Traversal (105),https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,,,Exact same problem
94957eac222ba400,13,Construct Binary Tree from Inorder and Postorder Traversal,https://workat.tech/problem-solving/practice/construct-binary-tree-from-inorder-and-postorder-traversal/index.html,50,81%,medium,"Amazon, Microsoft",Construct Binary Tree from Inorder and Postorder Traversal (106),https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,,,Exact same problem
0bb581220e6e700a,14,Left View of Binary Tree,https://workat.tech/problem-solving/practice/left-view-binary-tree/index.html,50,80%,medium,"Adobe, Cisco, Microsoft",,,Left View of Binary Tree (GeeksforGeeks),https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1,No exact LC equivalent; LC has no left-view problem (LC 513 Find Bottom Left Tree Value is only distantly related)
1167669b54727ef2,15,Right View of Binary Tree,https://workat.tech/problem-solving/practice/right-view-binary-tree/index.html,50,82%,medium,"Adobe, Amazon, Apple, Uber",Binary Tree Right Side View (199),https://leetcode.com/problems/binary-tree-right-side-view/,,,Exact same problem; rightmost node of each level
a88359edad8796ce,16,Top View of Binary Tree,https://workat.tech/problem-solving/practice/top-view-binary-tree/index.html,50,53%,medium,"Adobe, Expedia, Microsoft",,,Top View of Binary Tree (GeeksforGeeks),https://www.geeksforgeeks.org/problems/top-view-of-binary-tree/1,No exact LC equivalent; LC has no top-view problem
391c3a9f2edcd140,17,Bottom View of Binary Tree,https://workat.tech/problem-solving/practice/bottom-view-binary-tree/index.html,50,68%,medium,"Amazon, Flipkart, Oyo, Paytm",,,Bottom View of Binary Tree (GeeksforGeeks),https://www.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,No exact LC equivalent; LC has no bottom-view problem
e44fdae4e78e2092,18,Lowest Common Ancestor in Binary Tree,https://workat.tech/problem-solving/practice/lowest-common-ancestor/index.html,50,78%,medium,"Amazon, Flipkart, Maq Software, Microsoft, Samsung",Lowest Common Ancestor of a Binary Tree (236),https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,,Exact same problem; both assume p and q exist in the tree
3247a08df6395168,19,Flatten Binary Tree to Linked List,https://workat.tech/problem-solving/practice/flatten-binary-tree-to-linked-list/index.html,50,60%,medium,"Adobe, Amazon, Microsoft",Flatten Binary Tree to Linked List (114),https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,,,Exact same problem; preorder order using right pointers with left set to null
4c2559b6d3da017f,20,Populating Next Right Pointers in Each Node,https://workat.tech/problem-solving/practice/populating-next-right-pointers-in-each-node/index.html,50,88%,medium,"Amazon, Microsoft",Populating Next Right Pointers in Each Node (116),https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,,,Exact same problem; both use a perfect binary tree (LC 117 is the general-tree variant)
6eae7633bb37868d,21,Maximum Path Sum of Binary Tree,https://workat.tech/problem-solving/practice/binary-tree-max-path-sum/index.html,80,60%,hard,"Amazon, Microsoft, Yahoo",Binary Tree Maximum Path Sum (124),https://leetcode.com/problems/binary-tree-maximum-path-sum/,,,Exact same problem
