#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Implement Counting Sort,https://workat.tech/problem-solving/practice/implement-counting-sort/index.html,30,43%,easy,Snapdeal,,,Counting Sort (GeeksforGeeks),https://www.geeksforgeeks.org/problems/counting-sort/1,No exact LC equivalent; GfG is the direct implementation task
2,Identical Twins,https://workat.tech/problem-solving/practice/identical-twins/index.html,30,69%,easy,,Number of Good Pairs (1512),https://leetcode.com/problems/number-of-good-pairs/,,,Exact same problem; count pairs i < j with equal values
3,Primes upto N,https://workat.tech/problem-solving/practice/primes-upto-n/index.html,50,51%,medium,"Amdocs, Ola",Count Primes (204) - related,https://leetcode.com/problems/count-primes/,Sieve of Eratosthenes (GeeksforGeeks),https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes/1,Workat prints all primes up to n; LC 204 counts primes less than n; GfG sieve is the direct implementation
4,Non-Repeating Element,https://workat.tech/problem-solving/practice/non-repeating-element/index.html,50,70%,medium,Amazon,Single Element in a Sorted Array (540),https://leetcode.com/problems/single-element-in-a-sorted-array/,,,Exact same problem; sorted array with every element twice except one and O(log n) expected
5,Two Sum,https://workat.tech/problem-solving/practice/two-sum/index.html,30,31%,easy,"Amazon, Flipkart, Google, Hike, Microsoft +3 more",Two Sum (1),https://leetcode.com/problems/two-sum/,,,Exact same problem
6,Three Sum,https://workat.tech/problem-solving/practice/three-sum/index.html,50,28%,medium,"Amazon, Facebook, Microsoft",3Sum (15),https://leetcode.com/problems/3sum/,,,Exact same problem
7,Four Sum,https://workat.tech/problem-solving/practice/four-sum/index.html,50,51%,medium,"Adobe, Amazon, Google, Microsoft, Oyo",4Sum (18),https://leetcode.com/problems/4sum/,,,Exact same problem
8,Longest Consecutive Sequence,https://workat.tech/problem-solving/practice/longest-consecutive-sequence/index.html,50,60%,medium,"Amazon, Microsoft",Longest Consecutive Sequence (128),https://leetcode.com/problems/longest-consecutive-sequence/,,,Exact same problem
9,Longest Subarray with Zero Sum,https://workat.tech/problem-solving/practice/longest-subarray-zero-sum/index.html,50,63%,medium,"Amazon, MakeMyTrip, Microsoft",Maximum Size Subarray Sum Equals k (325) (premium) - related,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/,Largest subarray with 0 sum (GeeksforGeeks),https://www.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,No exact free LC equivalent; LC 325 (premium) is the general-sum variant; GfG is the exact zero-sum problem
10,Longest Substring Without Repeat,https://workat.tech/problem-solving/practice/longest-substring-without-repeat/index.html,50,39%,medium,"Amazon, Google, Microsoft, Morgan Stanley, Synopsys",Longest Substring Without Repeating Characters (3),https://leetcode.com/problems/longest-substring-without-repeating-characters/,,,Exact same problem
11,Distinct Numbers in Window,https://workat.tech/problem-solving/practice/distinct-numbers-window/index.html,50,71%,medium,"Amazon, Microsoft",,,Count Distinct Elements in Every Window (GeeksforGeeks),https://www.geeksforgeeks.org/problems/count-distinct-elements-in-every-window/1,No LC equivalent; GfG is the exact same problem
12,Subarrays With Given XOR,https://workat.tech/problem-solving/practice/subarray-with-xor/index.html,80,62%,hard,Dunzo,Subarray Sum Equals K (560) - related,https://leetcode.com/problems/subarray-sum-equals-k/,Count Subarrays with given XOR (GeeksforGeeks),https://www.geeksforgeeks.org/problems/count-subarray-with-given-xor/1,No exact LC equivalent; LC 560 is the same prefix-hash technique with sums; GfG is the exact XOR problem
13,Longest Substring with K Unique Characters,https://workat.tech/problem-solving/practice/longest-substring-with-k-unique-characters/index.html,50,60%,medium,"Amazon, Google, Sap Labs",Longest Substring with At Most K Distinct Characters (340) (premium) - related,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,Longest Substring with K Uniques (GeeksforGeeks),https://www.geeksforgeeks.org/problems/longest-k-unique-characters-substring/1,LC 340 (premium) allows at most K distinct; workat/GfG require exactly K unique characters
14,Clone List with Random Pointer,https://workat.tech/problem-solving/practice/clone-list-random-pointer/index.html,50,76%,medium,"Adobe, Amazon, D. E. Shaw, MakeMyTrip, Microsoft +4 more",Copy List with Random Pointer (138),https://leetcode.com/problems/copy-list-with-random-pointer/,,,Exact same problem
15,LRU Cache,https://workat.tech/problem-solving/practice/lru-cache/index.html,80,53%,hard,"Adobe, Amazon, Flipkart, Goldman Sachs, Google +12 more",LRU Cache (146),https://leetcode.com/problems/lru-cache/,,,Exact same problem
