id,#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
2fb3653cd431c46c,1,Print Linked List,https://workat.tech/problem-solving/practice/print-linked-list/index.html,30,57%,easy,,,,,,Basic traversal exercise; no direct equivalent
22a89dea9e7821d6,2,Linked List to Array,https://workat.tech/problem-solving/practice/linked-list-to-array/index.html,30,85%,easy,,,,,,No standalone LC problem; list-to-array conversion appears as a step in LC 234 solutions
113cf95b8ca08092,3,Print Reversed Linked List,https://workat.tech/problem-solving/practice/print-reversed-linked-list/index.html,30,66%,easy,,Reverse Linked List (206) - related,https://leetcode.com/problems/reverse-linked-list/,,,LC 206 reverses the list; this problem only prints it in reverse
2eb6912dd70f3ea1,4,Kth Element in Linked List,https://workat.tech/problem-solving/practice/kth-element-linked-list/index.html,30,76%,easy,,Design Linked List (707) - related,https://leetcode.com/problems/design-linked-list/,,,LC 707's get(index) operation covers this task
e31483a6df822a2f,5,Add Element at Kth Position in Linked List,https://workat.tech/problem-solving/practice/add-kth-element-linked-list/index.html,30,62%,easy,,Design Linked List (707) - related,https://leetcode.com/problems/design-linked-list/,,,LC 707's addAtIndex(index val) operation covers this task
f7fe22b08e0bc91e,6,Remove Element at Kth Position in Linked List,https://workat.tech/problem-solving/practice/delete-kth-element-linked-list/index.html,30,73%,easy,Amazon,Design Linked List (707) - related,https://leetcode.com/problems/design-linked-list/,,,LC 707's deleteAtIndex(index) operation covers this task
75c0e8d08ad95d2f,7,Append Linked Lists,https://workat.tech/problem-solving/practice/append-linked-lists/index.html,30,88%,easy,,,,,,Simple concatenation; appears as a step in LC 23/143 solutions but has no standalone problem
1675f60426b347af,8,Reverse a Linked List,https://workat.tech/problem-solving/practice/reverse-linked-list/index.html,30,78%,easy,"Adobe, Amazon, Cisco, D. E. Shaw, Goldman Sachs +9 more",Reverse Linked List (206),https://leetcode.com/problems/reverse-linked-list/,,,Exact same problem
2173241606efe906,9,Remove occurrences in Linked List,https://workat.tech/problem-solving/practice/remove-occurences-linked-list/index.html,30,35%,easy,,Remove Linked List Elements (203),https://leetcode.com/problems/remove-linked-list-elements/,,,Exact same problem (remove all nodes with the given value)
25c036d94fe56ac3,10,Middle Element of Linked List,https://workat.tech/problem-solving/practice/middle-element-linked-list/index.html,30,46%,easy,"Adobe, Amazon, Flipkart, Hike, Maq Software +8 more",Middle of the Linked List (876),https://leetcode.com/problems/middle-of-the-linked-list/,,,Exact same problem
45235f7453332938,11,Merge Two Sorted Linked List,https://workat.tech/problem-solving/practice/merge-sorted-linked-list/index.html,30,76%,easy,"Adobe, Amazon, Expedia, Microsoft, Yahoo",Merge Two Sorted Lists (21),https://leetcode.com/problems/merge-two-sorted-lists/,,,Exact same problem
a90cfb9a6f681525,12,Delete Node From Linked List,https://workat.tech/problem-solving/practice/delete-node-linked-list/index.html,30,86%,easy,,Delete Node in a Linked List (237),https://leetcode.com/problems/delete-node-in-a-linked-list/,,,Exact same problem (node access without head)
0c4e40786e60a039,13,Linked List Palindrome,https://workat.tech/problem-solving/practice/linked-list-palindrome/index.html,30,76%,easy,"Adobe, Amazon, Microsoft, Snapdeal",Palindrome Linked List (234),https://leetcode.com/problems/palindrome-linked-list/,,,Exact same problem
