#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Reverse Words in String,https://workat.tech/problem-solving/practice/reverse-words-string/index.html,50,63%,medium,"Adobe, Amazon, Apple, Cisco, Facebook +6 more",Reverse Words in a String (151),https://leetcode.com/problems/reverse-words-in-a-string/,,,Same task; workat guarantees single spaces with no leading/trailing spaces while LC allows extras
2,Longest Palindrome in String,https://workat.tech/problem-solving/practice/longest-palindrome/index.html,50,42%,medium,"Amazon, Microsoft, Samsung, Visa",Longest Palindromic Substring (5),https://leetcode.com/problems/longest-palindromic-substring/,,,Exact same problem; workat wants the first longest if multiple
3,Roman Numeral to Integer,https://workat.tech/problem-solving/practice/roman-to-integer/index.html,30,48%,easy,"Adobe, Barclays, Facebook, Uber",Roman to Integer (13),https://leetcode.com/problems/roman-to-integer/,,,Exact same problem
4,Integer to Roman Numeral,https://workat.tech/problem-solving/practice/integer-to-roman/index.html,30,66%,easy,"Adobe, Facebook, Paytm",Integer to Roman (12),https://leetcode.com/problems/integer-to-roman/,,,Exact same problem
5,Anagrams,https://workat.tech/problem-solving/practice/anagrams/index.html,30,42%,easy,"Adobe, Intuit, Samsung",Valid Anagram (242),https://leetcode.com/problems/valid-anagram/,,,Exact same problem (check if two strings are anagrams)
6,Longest Common Prefix,https://workat.tech/problem-solving/practice/longest-common-prefix/index.html,30,73%,easy,"Dunzo, Google, Grofers",Longest Common Prefix (14),https://leetcode.com/problems/longest-common-prefix/,,,Exact same problem
7,Substring Search - I,https://workat.tech/problem-solving/practice/substring-search/index.html,30,57%,easy,Adobe,Find the Index of the First Occurrence in a String (28),https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,,,Exact same problem (formerly Implement strStr())
8,Substring Search - II,https://workat.tech/problem-solving/practice/substring-search-rabin-karp/index.html,80,56%,hard,Google,Find the Index of the First Occurrence in a String (28) - related,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Search Pattern (Rabin-Karp Algorithm) (GeeksforGeeks),https://www.geeksforgeeks.org/problems/search-pattern-rabin-karp-algorithm--141631/1,Workat mandates Rabin-Karp while LC accepts any algorithm; GfG variant prints all occurrence indices
9,Substring Search - III,https://workat.tech/problem-solving/practice/substring-search-kmp/index.html,80,88%,hard,,Find the Index of the First Occurrence in a String (28) - related,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Search Pattern (KMP-Algorithm) (GeeksforGeeks),https://www.geeksforgeeks.org/problems/search-pattern0205/1,Workat mandates KMP while LC accepts any algorithm; GfG variant prints all occurrence indices
10,Substring Search - IV,https://workat.tech/problem-solving/practice/substring-search-z-algo/index.html,80,83%,hard,Flipkart,Find the Index of the First Occurrence in a String (28) - related,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,,,Workat mandates Z-algorithm while LC accepts any algorithm; no GfG practice problem for Z-algorithm
11,Insert Minimum To Make Palindrome,https://workat.tech/problem-solving/practice/min-insertion-palindrome/index.html,80,28%,hard,"Adobe, Apple, Facebook",Shortest Palindrome (214),https://leetcode.com/problems/shortest-palindrome/,Min Chars to Add for Palindrome (GeeksforGeeks),https://www.geeksforgeeks.org/problems/minimum-characters-to-be-added-at-front-to-make-string-palindrome/1,Insertions at front only; LC returns the shortest palindrome string while workat returns the count; not LC 1312 (insertions anywhere)
12,Count And Say,https://workat.tech/problem-solving/practice/count-and-say/index.html,50,48%,medium,"Apple, Facebook",Count and Say (38),https://leetcode.com/problems/count-and-say/,,,Exact same problem
13,Compare Version Numbers,https://workat.tech/problem-solving/practice/compare-version-numbers/index.html,50,16%,medium,"Amazon, Intuit",Compare Version Numbers (165),https://leetcode.com/problems/compare-version-numbers/,,,Exact same problem
14,Shortest Unique Prefix,https://workat.tech/problem-solving/practice/shortest-unique-prefix/index.html,80,76%,hard,"Google, Ola",,,Shortest Unique Prefix for Every Word (GeeksforGeeks),https://www.geeksforgeeks.org/problems/shortest-unique-prefix-for-every-word/1,No LC equivalent; trie classic; GfG is the direct equivalent
15,Restaurant Reviews,https://workat.tech/problem-solving/practice/restaurant-reviews/index.html,80,44%,hard,"Expedia, Google",,,,,No LC or GfG equivalent; count good-word hits per review via hash set/trie then stable sort by count
